Registrar,Enrolment Agency,Aadhaar generated,Enrolment Rejected
Allahabad Bank,Vakrangee Softwares Limited,0,4
Bank Of India,A3 Logics  India  Ltd,552,84
Bank Of India,Akanksha International,1,3
Bank Of India,Blue Circle Instrument,1751,50
Bank Of India,CHESSY CONSULTANTS PVT LTD,5,8
Bank Of India,DATASOFT COMPUTER SERVICES(P),6254,250
Bank Of India,Emdee Digitronics Pvt.Ltd.,686,32
Bank Of India,Frontech Systems Pvt Ltd,692,31
Bank Of India,MANTRA SOFTTECH (INDIA) PVTLTD,0,1
Bank Of India,Matrix Processing House,8,15
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,224,32
Bank Of India,PROTEX COMPUTER PVT LTD,1293,47
Bank Of India,SARADA SYSTEMS,1412,42
Bank Of India,SHRIKRISHNA KHANDASARI SUGAR M,2710,16
Bank Of India,SPANCO,2,10
Bank Of India,SREI INFRASTRUCTURE FINANCES L,12616,296
Bank Of India,Silver Touch Technologies Ltd,0,5
Bank Of India,Systematic & Advance Const P L,4,8
Bank Of India,VEETECHNOLOGIES PVT. LTD,507,37
Bank Of India,VIRGO SOFTECH LIMITED,0,1
Bank Of India,Vakrangee Softwares Limited,0,5
Bank of Baroda,Global Finsol Private Limited,4,2
Bank of Maharashtra,FINANCIAL INFORMATION NETWORK,33,2
Bank of Maharashtra,Micro Technologies India Ltd,34,1
Bank of Maharashtra,Tera Software Ltd,220,103
CSC e-Governance Services India Limited,A I Soc for Electronics and Comp Tech,1236,250
CSC e-Governance Services India Limited,AKSH OPTIFIBRE LIMITED,1117,43
CSC e-Governance Services India Limited,BASIX,559,76
CSC e-Governance Services India Limited,CALANCE SOFTWARE PRIVATE LTD,4,78
CSC e-Governance Services India Limited,CMS Computers Ltd,2410,169
CSC e-Governance Services India Limited,CSC e-Governance Services India Limited,1361,109
CSC e-Governance Services India Limited,Intelligent Communication Sys India Ltd,11,8
CSC e-Governance Services India Limited,MANTRA SOFTTECH (INDIA) PVTLTD,434,15
CSC e-Governance Services India Limited,Mahaonline Limited,267,23
CSC e-Governance Services India Limited,Network for Information & Computer,984,80
CSC e-Governance Services India Limited,Reliance Communication Limited,0,2
CSC e-Governance Services India Limited,SPANCO,1385,107
CSC e-Governance Services India Limited,Sahaj e-Village Limited,263,4
CSC e-Governance Services India Limited,Tera Software Ltd,83,5
CSC e-Governance Services India Limited,United Telecoms e-Services Pvt Ltd,887,122
CSC e-Governance Services India Limited,VIKALP MULTIMEDIA,35,33
CSC e-Governance Services India Limited,Vakrangee Softwares Limited,495,120
CSC e-Governance Services India Limited,Vayam technologies Ltd,701,16
CSC e-Governance Services India Limited,Vedavaag Systems Limited,1063,33
CSC e-Governance Services India Limited,Zephyr System Pvt.Ltd.,2593,192
Canara Bank,FINANCIAL INFORMATION NETWORK,6,3
Canara Bank,Karvy Data Management Services,306,43
Canara Bank,Ojus Healthcare Private Limited,16,3
Canara Bank,Osiris Infotech Pvt. Ltd.,591,33
Canara Bank,Smart Chip Limited,1741,160
Canara Bank,Virinchi Technologies Ltd,176,0
Central Bank of India,CALANCE SOFTWARE PRIVATE LTD,0,30
Central Bank of India,IAP COMPANY Pvt. Ltd,314,34
Central Bank of India,The Peerless General Finance,1,28
DENA BANK,APEX Services,1,0
DENA BANK,ATISHAY INFOTECH PVT. LTD.,1943,111
DENA BANK,AVVAS INFOTECH PVT  LTD,113,34
DENA BANK,Asha Security Guard Services,154,10
DENA BANK,BNR UDYOG LIMITED,1227,20
DENA BANK,Binary Systems,95,32
DENA BANK,Bloom Solutions Pvt Ltd,12152,270
DENA BANK,Business Information Processing Services,13,50
DENA BANK,CALANCE SOFTWARE PRIVATE LTD,903,98
DENA BANK,DATASOFT COMPUTER SERVICES(P),1700,36
DENA BANK,DEVASHISH SECURITIES PVT. LTD.,7,1
DENA BANK,Eagle Software India Pvt. Ltd,1898,109
DENA BANK,FINANCIAL INFORMATION NETWORK,4798,197
DENA BANK,Gem Computers,515,37
DENA BANK,Gujarat Infotech Ltd.,521,18
DENA BANK,IAP COMPANY Pvt. Ltd,13772,319
DENA BANK,India Computer Technology,478,36
DENA BANK,JNET Technologies Pvt.Ltd,1477,32
DENA BANK,K W Consulting P Ltd,1293,303
DENA BANK,M/S STAR DATA CENTRE,1216,16
DENA BANK,M/s Gold Square Builders & Promoters Pvt. Ltd.,404,61
DENA BANK,MARS Telecom Systems Pvt Ltd,24,11
DENA BANK,MEGHA VINCOM PVT LTD,6250,129
DENA BANK,MKS Enterprises,212,46
DENA BANK,Make India Smart Private Limited,386,105
DENA BANK,Multiwave Innovation,3371,112
DENA BANK,NVR & ASSOCIATES LIMITED,3144,52
DENA BANK,Netlink software Pvt Ltd,2774,117
DENA BANK,Nielsen  India  Private Limited,5463,274
DENA BANK,Offshoot Agency Pvt. Ltd.,616,62
DENA BANK,Ortem Securities Limited,0,1
DENA BANK,Prodigy Systems and Services Private Limited,4,5
DENA BANK,Radiant Haroti Industries India Ltd,6074,252
DENA BANK,SGS INDIA PVT LTD,3643,82
DENA BANK,Silver Touch Technologies Ltd,67,8
DENA BANK,Soc for Advancement of Environ Science,429,80
DENA BANK,Super Printers,745,37
DENA BANK,Systematic & Advance Const P L,970,34
DENA BANK,TechSmart India Pvt Ltd,5426,108
DENA BANK,Tera Software Ltd,5192,121
DENA BANK,The NSIC ltd,558,73
DENA BANK,Transline Technologies P Ltd,3376,114
DENA BANK,Utility Forms Pvt Ltd,1623,39
DENA BANK,VAP INFOSOLUTIONS,2339,594
DENA BANK,VISION COMPTECH INTEGRATOR LTD,361,39
DENA BANK,Vedavaag Systems Limited,5150,287
DENA BANK,WEBEL,5754,293
DENA BANK,Wipro Ltd,352,14
DENA BANK,Zephyr System Pvt.Ltd.,2873,211
Delhi - Central DC,Smart Chip Limited,0,3
Delhi - East DC,DATASOFT COMPUTER SERVICES(P),19,112
Delhi - ND DC,Smart Chip Limited,0,1
Delhi - NE DC,Smart Chip Limited,0,10
Delhi - North DC,CALANCE SOFTWARE PRIVATE LTD,104,154
Delhi - North DC,NVR & ASSOCIATES LIMITED,3,15
Delhi - North DC,Smart Chip Limited,0,7
Delhi SW DC,VIRGO SOFTECH LIMITED,1,1
Delhi- South DC,Karvy Computershare Private Li,0,10
Delhi- West DC,Smart Chip Limited,0,6
Delhi- West DC,VIRGO SOFTECH LIMITED,0,21
Delhi-NW DC,Karvy Computershare Private Li,0,10
Department of Information Technology Govt of Jharkhand,Blue Circle Instrument,1,3
Department of Information Technology Govt of Jharkhand,MKS Enterprises,0,3
Department of Information Technology Govt of Jharkhand,Wipro Ltd,570,44
Dept of ITC Govt of Rajasthan,ATISHAY INFOTECH PVT. LTD.,52,12
Dept of ITC Govt of Rajasthan,AVVAS INFOTECH PVT  LTD,0,2
Dept of ITC Govt of Rajasthan,Alankit Finsec Ltd,0,1
Dept of ITC Govt of Rajasthan,Business Information Processing Services,0,2
Dept of ITC Govt of Rajasthan,DATASOFT COMPUTER SERVICES(P),1,106
Dept of ITC Govt of Rajasthan,Multiwave Innovation,2,2
Dept of ITC Govt of Rajasthan,Netlink software Pvt Ltd,0,5
Dept of ITC Govt of Rajasthan,TechSmart India Pvt Ltd,0,9
Dept of ITC Govt of Rajasthan,Transline Technologies P Ltd,31,19
Dept of ITC Govt of Rajasthan,VIRGO SOFTECH LIMITED,2,13
Dept of ITC Govt of Rajasthan,Vakrangee Softwares Limited,730,46
Dept of ITC Govt of Rajasthan,Vayam technologies Ltd,0,13
FCR Govt of Haryana,4G INFORMATICS,1,0
FCR Govt of Haryana,Academy of Management Studies,109,19
FCR Govt of Haryana,Radiant Info Systems Ltd,293,43
FCR Govt of Haryana,SoftAge Information Technology Limited,201,50
FCR Govt of Haryana,Vakrangee Softwares Limited,13,0
FCR Govt of Haryana,Vayam technologies Ltd,0,7
FCS Govt of Punjab,CSS TECHNERGY LIMITED,0,45
FCS Govt of Punjab,District Sukhmani Society  Jalandhar  Punjab,2,1
FCS Govt of Punjab,District Sukhmani Society  Ludhiana  Punjab,28,8
FCS Govt of Punjab,District Sukhmani Society  Moga  Punjab,4,0
FCS Govt of Punjab,District Sukhmani Society Amritsar Punjab,43,7
FCS Govt of Punjab,District Sukhmani Society Barnala Punjab,13,5
FCS Govt of Punjab,District Sukhmani Society Bathinda Punjab,28,12
FCS Govt of Punjab,District Sukhmani Society Fatehgarh Sahib Punjab,12,2
FCS Govt of Punjab,District Sukhmani Society Fazilka Punjab,7,0
FCS Govt of Punjab,District Sukhmani Society Ferozepur Punjab,1,0
FCS Govt of Punjab,District Sukhmani Society For Citizen Services Mansa Punjab,30,7
FCS Govt of Punjab,District Sukhmani Society For Citizen Services Nawanshahr Punjab,14,2
FCS Govt of Punjab,District Sukhmani Society For Citizen Services SAS Nagar District e-Governance Society Punjab,6,3
FCS Govt of Punjab,District Sukhmani Society Pathankot Punjab,6,1
FCS Govt of Punjab,District Sukhmani Society Patiala Punjab,8,2
FCS Govt of Punjab,District Sukhmani Society Rupnagar Punjab,4,0
FCS Govt of Punjab,District Sukhmani Society Sangrur Punjab,7,3
FCS Govt of Punjab,District Sukhmani Society Sri Muktsar Sahib Punjab,2,0
FCS Govt of Punjab,Karvy Computershare Private Li,5,58
FCS Govt of Punjab,Sukhmani Society For Citizen Services Gurdaspur Punjab,1,0
FCS Govt of Punjab,Sukhmani Society For Citizens Services Faridkot Punjab,17,1
FCS Govt of Punjab,Suwidha Society Hoshiarpur Punjab,22,2
FCS Govt of Punjab,Vayam technologies Ltd,12,41
FCS Govt of Punjab,eCentric solutions pvt ltd,259,32
Govt of Andhra Pradesh,Gouthami Educational Society,21,47
Govt of Andhra Pradesh,GrapeSoft,0,25
Govt of Andhra Pradesh,INFRONICS SYSTEMS LTD,11,14
Govt of Andhra Pradesh,SREEVEN INFOCOM LIMITED,6,14
Govt of Andhra Pradesh,TechSmart India Pvt Ltd,0,16
Govt of Andhra Pradesh,Tera Software Ltd,5,25
Govt of Goa,MARS Telecom Systems Pvt Ltd,3,2
Govt of Gujarat,GSS Infotech Ltd,35,5
Govt of Gujarat,Karvy Computershare Private Li,331,126
Govt of Gujarat,Silver Touch Technologies Ltd,1846,67
Govt of Gujarat,Tera Software Ltd,1623,226
Govt of Gujarat,Vayam technologies Ltd,1,16
Govt of Gujarat,eCentric solutions pvt ltd,2028,40
Govt of Himachal Pradesh,Wipro Ltd,8,5
Govt of Himachal Pradesh,i-Grandee SoftwareTechnologies,0,5
Govt of Karnataka ,BNR UDYOG LIMITED,1,2
Govt of Karnataka ,Bloom Solutions Pvt Ltd,0,1
Govt of Karnataka ,MARS Telecom Systems Pvt Ltd,6,11
Govt of Karnataka ,Ninestars Information Technologies Ltd,1,12
Govt of Karnataka ,Om Softwares,0,1
Govt of Karnataka ,Origin ITFS Pvt Ltd,8,30
Govt of Karnataka ,SREEVEN INFOCOM LIMITED,4,12
Govt of Kerala,Akshaya,2658,233
Govt of Kerala,Keltron,1,4
Govt of Maharashtra,Adcc Infocad Pvt.Ltd Nagpur,0,1
Govt of Maharashtra,Alankit Finsec Ltd,0,4
Govt of Maharashtra,Bharat Technical Solutions Private Limited,1,0
Govt of Maharashtra,Eagle press pvt ltd,1,1
Govt of Maharashtra,GLODYNE TECHNOSERVE,0,1
Govt of Maharashtra,Global Finsol Private Limited,3,1
Govt of Maharashtra,Karvy Computershare Private Li,369,51
Govt of Maharashtra,M/S King Computer System pvt Ltd,57,0
Govt of Maharashtra,M/s. Vidya Online  Pune,10,0
Govt of Maharashtra,Netlink software Pvt Ltd,16,7
Govt of Maharashtra,SETU MAHARASHTRA,14,0
Govt of Maharashtra,SPANCO,37,7
Govt of Maharashtra,STRATEGIC OUTSOURCING SERVICE,0,2
Govt of Maharashtra,Silver Touch Technologies Ltd,3,1
Govt of Maharashtra,TechSmart India Pvt Ltd,1,2
Govt of Maharashtra,Transline Technologies P Ltd,0,8
Govt of Maharashtra,Vidarbha Infotech Pvt Ltd,12,1
Govt of Maharashtra,Wipro Ltd,1,2
Govt of Sikkim - Dept of Econo,Department of Economics Statistics  Monitoring and Evaluation DESME,24,1
IDBI Bank ltd,ATISHAY INFOTECH PVT. LTD.,340,10
IDBI Bank ltd,Matrix Processing House,461,14
IDBI Bank ltd,SREEVEN INFOCOM LIMITED,277,3
IDBI Bank ltd,UTI TECHNOLOGY SERVICES LIMITE,2,2
Indiapost,Delhi Integrated MMTS Ltd,0,128
Indiapost,Global Finsol Private Limited,0,5
Indiapost,MARS Telecom Systems Pvt Ltd,48,30
Indiapost,Vayam technologies Ltd,0,47
Indiapost,WEBEL,1,3
Information Technology & Communication Department,4G INFORMATICS,5,50
Information Technology & Communication Department,BNR UDYOG LIMITED,4,23
Information Technology & Communication Department,Bloom Solutions Pvt Ltd,2,8
Information Technology & Communication Department,CSS TECHNERGY LIMITED,1,84
Information Technology & Communication Department,Directorate of ESD,2510,389
Information Technology & Communication Department,GDC Advertising Pvt. Limited,1,4
Information Technology & Communication Department,JYOTHI COMPUTER SERVICES,4,9
Information Technology & Communication Department,Karvy Data Management Services,0,3
Information Technology & Communication Department,MARS Telecom Systems Pvt Ltd,12,20
Information Technology & Communication Department,SREEVEN INFOCOM LIMITED,1,14
Information Technology & Communication Department,Tera Software Ltd,1,7
Jharkhand,Emdee Digitronics Pvt.Ltd.,1,10
Jharkhand,MKS Enterprises,0,7
Jharkhand,Nevaeh Technology Pvt. Ltd.,0,6
Jharkhand,STRATEGIC OUTSOURCING SERVICE,1,0
Jharkhand,Smart Chip Limited,0,4
Jharkhand,Systematic & Advance Const P L,1,15
Jharkhand,VISION COMPTECH INTEGRATOR LTD,1,41
Jharkhand,Wipro Ltd,120,58
Mission Convergence - GNCT Del,NVR & ASSOCIATES LIMITED,0,1
NSDL e-Governance Infrastructure Limited,Abhipra Capital Ltd,910,119
NSDL e-Governance Infrastructure Limited,Alankit Assignments Limited,258,45
NSDL e-Governance Infrastructure Limited,Alankit Finsec Ltd,4693,298
NSDL e-Governance Infrastructure Limited,Delhi Integrated MMTS Ltd,0,8
NSDL e-Governance Infrastructure Limited,Global Finsol Private Limited,0,2
NSDL e-Governance Infrastructure Limited,Gujarat Infotech Ltd.,4158,166
NSDL e-Governance Infrastructure Limited,INTEGRATED REGISTRY SERVICES LTD,5,0
NSDL e-Governance Infrastructure Limited,Karvy Data Management Services,10272,1093
NSDL e-Governance Infrastructure Limited,N.K. Sharma Enterprises Ltd.,1898,36
NSDL e-Governance Infrastructure Limited,Netlink software Pvt Ltd,211,42
NSDL e-Governance Infrastructure Limited,Offshoot Agency Pvt. Ltd.,1019,51
NSDL e-Governance Infrastructure Limited,PROWIZ MANSYTEMS PVT LTD,0,2
NSDL e-Governance Infrastructure Limited,Promind Solutions P Limited,8854,325
NSDL e-Governance Infrastructure Limited,RELIGARE SECURITIES LTD,469,49
NSDL e-Governance Infrastructure Limited,Radiant Haroti Industries India Ltd,859,34
NSDL e-Governance Infrastructure Limited,Sri Ramraja Sarkar Lok Kalyan Trust,1077,59
NSDL e-Governance Infrastructure Limited,Utility Forms Pvt Ltd,2939,86
NSDL e-Governance Infrastructure Limited,VIRGO SOFTECH LIMITED,0,9
Oriental Bank of Commerce,DATASOFT COMPUTER SERVICES(P),380,84
Oriental Bank of Commerce,Euro Finmart Ltd,0,3
Oriental Bank of Commerce,JNET Technologies Pvt.Ltd,247,7
Oriental Bank of Commerce,Sri Ramraja Sarkar Lok Kalyan Trust,26,13
Oriental Bank of Commerce,Wipro Ltd,7,23
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,Frontech Systems Pvt Ltd,1309,63
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,GDC Advertising Pvt. Limited,120,29
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,K W Consulting P Ltd,14,12
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,LYRA  CONSULTANCY SERVICE,569,20
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,Netlink software Pvt Ltd,39,17
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,OSWAL COMPUTERS & CONSULTANTS,336,85
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,Tera Software Ltd,611,160
Principal Revenue Commissioner  Dept of Revenue  Govt of MP,Vedavaag Systems Limited,490,160
Punjab and Sind Bank,Matrix Processing House,405,73
Registrar General India BEL2,Computer LAB,74,39
Registrar General India BEL2,Emdee Digitronics Pvt.Ltd.,74,0
Registrar General India BEL2,India Computer Technology,0,2
Registrar General India BEL2,Karvy Data Management Services,0,6
Registrar General India BEL2,MACRO INFOTECH PVT LTD,4,4
Registrar General India BEL2,MKS Enterprises,7,0
Registrar General India BEL2,Madras Security Printers Ltd,301,72
Registrar General India BEL2,Manipur Electronics Dev Corp,5,1
Registrar General India BEL2,Multiwave Innovation,20,5
Registrar General India BEL2,NVR & ASSOCIATES LIMITED,56,0
Registrar General India BEL2,Netlink software Pvt Ltd,0,1
Registrar General India BEL2,Nevaeh Technology Pvt. Ltd.,3,1
Registrar General India BEL2,Nielsen  India  Private Limited,0,221
Registrar General India BEL2,Om Softwares,561,347
Registrar General India BEL2,Satyanarayana Raju Company Pvt ltd,2042,253
Registrar General India BEL2,Swathy Smartcards Hi-Tech Pvt,387,176
Registrar General India BEL2,Swiss Tech India Pvt Ltd,0,1
Registrar General India BEL2,Tera Software Ltd,130,48
Registrar General India BEL2,UNITED DATA SERVICES PRIVATE LIMITED,0,1
Registrar General India BEL2,VIRGO SOFTECH LIMITED,1,1
Registrar General India BEL2,Vansh Infotech Pvt Ltd,0,1
Registrar General India BEL2,Vedavaag Systems Limited,819,25
Registrar General India BEL2,Viesa Technologies,2,1
Registrar General India BEL2,WEBEL,0,2
Registrar General India ECIL,AVVAS INFOTECH PVT  LTD,7,6
Registrar General India ECIL,BUSINESS INFORMATION PROCESSING SERVICES,112,67
Registrar General India ECIL,COMTECH INSTITUTE OFTECHNOLOGY,0,29
Registrar General India ECIL,COMTECHINFO SOLUTIONS PVT.LTD,1459,190
Registrar General India ECIL,Chinar Construction Company Prime agency,182,88
Registrar General India ECIL,Clairvoyance Technologies Pvt.,0,1
Registrar General India ECIL,Computer LAB,192,588
Registrar General India ECIL,Eagle Software India Pvt. Ltd,10423,942
Registrar General India ECIL,Esoft Consulting Limited,6,0
Registrar General India ECIL,In Media Computer Services LLP,3946,1548
Registrar General India ECIL,India Computer Technology,14,1
Registrar General India ECIL,Integrated Systems & Services,224,2
Registrar General India ECIL,Karvy Data Management Services,1182,119
Registrar General India ECIL,Krishna Infotech,0,1
Registrar General India ECIL,Madras Security Printers Ltd,1450,8
Registrar General India ECIL,Mphasis Ltd,0,4
Registrar General India ECIL,SWISSTECH NPR 57CR PROJECT PVT,0,2
Registrar General India ECIL,Tera Software Ltd,12,0
Registrar General India ECIL,Vedavaag Systems Limited,0,9
Registrar General India Others,In Media Computer Services LLP,0,1
Registrar General India Others,Swathy Smartcards Hi-Tech Pvt,0,28
Registrar General of India ITI,CSS TECHNERGY LIMITED,0,2
Registrar General of India ITI,Eagle Software India Pvt. Ltd,837,98
Registrar General of India ITI,Emdee Digitronics Pvt.Ltd.,3392,73
Registrar General of India ITI,FINANCIAL INFORMATION NETWORK,0,2
Registrar General of India ITI,In Media Computer Services LLP,639,2
Registrar General of India ITI,Karvy Data Management Services,11,1
Registrar General of India ITI,MACRO INFOTECH PVT LTD,0,1
Registrar General of India ITI,MKS Enterprises,0,1
Registrar General of India ITI,Madras Security Printers Ltd,596,96
Registrar General of India ITI,Mphasis Ltd,1,1
Registrar General of India ITI,Netlink software Pvt Ltd,0,1
Registrar General of India ITI,Nielsen  India  Private Limited,0,10
Registrar General of India ITI,PROTEX COMPUTER PVT LTD,2,0
Registrar General of India ITI,Satyanarayana Raju Company Pvt ltd,1,1
Registrar General of India ITI,Swathy Smartcards Hi-Tech Pvt,2,1
Registrar General of India ITI,VIRGO SOFTECH LIMITED,0,3
Registrar General of India ITI,Vedavaag Systems Limited,0,2
Registrar General of India ITI,WEBEL TECHNOLOGY LIMITED,6353,470
Registrar General of India ITI,Webx Technologies Private Limited,44,0
State Bank of Bikaner & Jaipur,Multiwave Innovation,0,2
UIDAI-Registrar,UIDAI-EA,24,1
UT of Puducherry,Madras Security Printers Ltd,1,2
Union Bank,FINANCIAL INFORMATION NETWORK,4861,576
Union Bank,Smart Chip Limited,4693,245
Union Bank,Vakrangee Softwares Limited,113,59
